YEAR 11yrCYCLE 11yrCYCLE+BKGRND
1824 1365.6305 1364.3669
1825 1365.6958 1364.462
1826 1365.7957 1364.5746
1827 1365.9066 1364.6865
1828 1365.9952 1364.7704
1829 1366.0107 1364.7952
1830 1366.0465 1364.8501
1831 1365.8701 1364.7161
1832 1365.7542 1364.6519
1833 1365.6403 1364.6066
1834 1365.6635 1364.675
1835 1365.92 1364.9484
1836 1366.2988 1365.3376
1837 1366.3635 1365.4343
1838 1366.1387 1365.2535
1839 1366.0521 1365.1826
1840 1365.9341 1365.0696
1841 1365.7816 1364.92
1842 1365.7267 1364.8647
1843 1365.6522 1364.806
1844 1365.6775 1364.8508
1845 1365.8041 1364.9818
1846 1365.9025 1365.0797
1847 1366.0023 1365.1847
1848 1366.1976 1365.3846
1849 1366.1829 1365.391
1850 1365.9812 1365.1982
1851 1366.0029 1365.1567
1852 1365.9446 1365.0192
1853 1365.8448 1364.882
1854 1365.7162 1364.7728
1855 1365.6262 1364.7249
1856 1365.6163 1364.7605
1857 1365.7169 1364.8938
1858 1365.9066 1365.0951
1859 1366.126 1365.3092
1860 1366.1963 1365.3649
1861 1366.0916 1365.2426
1862 1365.9496 1365.0697
1863 1365.8821 1364.9423
1864 1365.837 1364.8333
1865 1365.7534 1364.7239
1866 1365.6909 1364.6573
1867 1365.6382 1364.6069
1868 1365.7977 1364.7668
1869 1366.0325 1365.0073
1870 1366.2708 1365.2471
1871 1366.2054 1365.2012
1872 1366.1576 1365.1577
1873 1365.958 1364.9529
1874 1365.8406 1364.7947
1875 1365.7035 1364.6147
1876 1365.6586 1364.5499
1877 1365.6543 1364.563
1878 1365.6135 1364.5669
1879 1365.6255 1364.6174
1880 1365.7689 1364.7728
1881 1365.9124 1364.9196
1882 1365.9313 1364.9546
1883 1365.9791 1364.9996
1884 1365.8812 1364.901
1885 1365.7909 1364.7394
1886 1365.6487 1364.5116
1887 1365.6234 1364.4189
1888 1365.5962 1364.3615
1889 1365.5652 1364.3398
1890 1365.5912 1364.3982
1891 1365.8303 1364.6823
1892 1365.9163 1364.8152
1893 1366.0458 1364.9875
1894 1366.1332 1365.1044
1895 1366.0166 1364.9883
1896 1365.8434 1364.787
1897 1365.7094 1364.6105
1898 1365.6982 1364.5564
1899 1365.6534 1364.4856
1900 1365.6216 1364.4579
1901 1365.5294 1364.4176
1902 1365.5165 1364.4843
1903 1365.7083 1364.744
1904 1365.9651 1365.0502
1905 1365.7684 1364.882
1906 1365.9651 1365.0778
1907 1365.8604 1364.932
1908 1365.9426 1364.9508
1909 1365.8459 1364.8024
1910 1365.7173 1364.6566
1911 1365.6285 1364.587
1912 1365.5706 1364.5724
1913 1365.5739 1364.6243
1914 1365.6302 1364.7195
1915 1365.9285 1365.0414
1916 1366.1349 1365.2614
1917 1366.2821 1365.4149
1918 1366.2454 1365.3726
1919 1366.0179 1365.1373
1920 1365.8523 1364.984
1921 1365.7351 1364.9114
1922 1365.6019 1364.8347
1923 1365.6211 1364.9006
1924 1365.6436 1364.9569
1925 1365.8406 1365.1799
1926 1365.9348 1365.2997
1927 1366.1135 1365.4958
1928 1365.9885 1365.3811
1929 1365.9429 1365.3519
1930 1365.9159 1365.3588
1931 1365.778 1365.28
1932 1365.6583 1365.2067
1933 1365.53 1365.1062
1934 1365.6361 1365.2339
1935 1365.85 1365.4572
1936 1366.2373 1365.8521
1937 1366.1718 1365.7859
1938 1366.1079 1365.7197
1939 1366.0894 1365.7096
1940 1366.0143 1365.6804
1941 1365.913 1365.6616
1942 1365.7847 1365.6266
1943 1365.6052 1365.527
1944 1365.6224 1365.5911
1945 1365.885 1365.8702
1946 1365.9818 1365.972
1947 1366.219 1366.2172
1948 1366.3475 1366.3531
1949 1366.2528 1366.2626
1950 1366.0098 1366.022
1951 1365.7721 1365.7882
1952 1365.7653 1365.7739
1953 1365.6313 1365.6204
1954 1365.6599 1365.6467
1955 1365.7793 1365.7719
1956 1366.3097 1366.3141
1957 1366.6632 1366.6812
1958 1366.6246 1366.6552
1959 1366.3717 1366.413
1960 1366.2682 1366.2997
1961 1365.923 1365.9115
1962 1365.7656 1365.702
1963 1365.7152 1365.6451
1964 1365.7114 1365.6605
1965 1365.7378 1365.7242
1966 1365.9058 1365.9506
1967 1366.0889 1366.1831
1968 1366.1295 1366.259
1969 1366.2069 1366.3573
1970 1366.2036 1366.348
1971 1365.9354 1366.0192
1972 1366.0519 1366.0541
1973 1365.8131 1365.7612
1974 1365.7448 1365.6792
1975 1365.5466 1365.502
1976 1365.6458 1365.6442
1977 1365.8248 1365.8557
1978 1366.2616 1366.3101
1979 1366.6193 1366.6769
1980 1366.6323 1366.6913
1981 1366.6829 1366.728
1982 1366.2808 1366.2999
1983 1366.1989 1366.2001
1984 1365.8088 1365.8145
1985 1365.6382 1365.6506
1986 1365.6345 1365.647
1987 1365.7865 1365.799
1988 1366.0792 1366.0918
1989 1366.6445 1366.657
1990 1366.5499 1366.5624
1991 1366.4423 1366.4547
1992 1366.2987 1366.3112
1993 1366.0251 1366.0377
1994 1365.7937 1365.8063
1995 1365.6962 1365.7087
1996 1365.6086 1365.6211
1997 1365.7365 1365.7489
1998 1366.0986 1366.1111
1999 1366.3817 1366.3942
2000 1366.662 1366.6744
